Bank of America - Export
Account: Checking ****1234
Period: 01/01/2026 to 01/31/2026

Date,Description,Amount,Running Bal.
01/02/2026,ZELLE FROM JOHN SMITH,500.00,2500.00
01/03/2026,STARBUCKS #98765,-6.25,2493.75
01/04/2026,WHOLE FOODS #456,-92.18,2401.57
01/05/2026,UBER EATS,-28.40,2373.17
01/06/2026,COMCAST CABLE,-79.99,2293.18
01/07/2026,ATM WITHDRAWAL,-100.00,2193.18
01/09/2026,WALMART SUPERCENTER,-54.32,2138.86
01/10/2026,DELTA AIR LINES,-312.00,1826.86
01/12/2026,MCDONALDS #1234,-8.45,1818.41
01/13/2026,PLANET FITNESS,-24.99,1793.42
01/14/2026,WALGREENS #5678,-18.76,1774.66
01/16/2026,DIRECT DEPOSIT EMPLOYER,3200.00,4974.66
01/18/2026,AMAZON PRIME,-14.99,4959.67
01/20/2026,LYFT *RIDE,-22.50,4937.17
01/22/2026,COSTCO WHSE #0123,-187.45,4749.72
