Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/02/2026,01/03/2026,STARBUCKS #12345,Food & Drink,Sale,-5.75,
01/03/2026,01/04/2026,AMAZON.COM*AB1CD2EF3,Shopping,Sale,-34.99,
01/04/2026,01/05/2026,UBER *TRIP,Travel,Sale,-18.50,
01/05/2026,01/06/2026,WHOLE FOODS MARKET,Groceries,Sale,-87.23,
01/06/2026,01/07/2026,NETFLIX.COM,Entertainment,Sale,-15.99,
01/08/2026,01/09/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,-12.75,
01/09/2026,01/10/2026,SHELL OIL 12345678,Gas,Sale,-52.40,
01/10/2026,01/11/2026,CVS PHARMACY #4321,Health & Wellness,Sale,-23.15,
01/12/2026,01/13/2026,TARGET 00123456,Shopping,Sale,-145.60,
01/14/2026,01/15/2026,VENMO *PAYMENT,Personal,Payment,-200.00,
01/15/2026,01/16/2026,PAYCHECK DEPOSIT,Income,ACH Credit,2500.00,Direct Deposit
01/16/2026,01/17/2026,SPOTIFY USA,Entertainment,Sale,-9.99,
01/18/2026,01/19/2026,PANERA BREAD #1234,Food & Drink,Sale,-14.30,
01/20/2026,01/21/2026,APPLE.COM/BILL,Entertainment,Sale,-2.99,
01/22/2026,01/23/2026,TRADER JOE'S #123,Groceries,Sale,-63.47,
